line,chart,root,season,queries
783,丙辰辛卯乙亥庚辰,HEAVY,IN_SEASON,REN-CAIGUAN|HEAVY-ROOT|ROOT-GAN-PRIORITY|SHI-GUI-LU|ZHONGGUA-2SIDE|RI-BEI-HE
786,癸亥戊午壬午己酉,HEAVY,OUT_OF_SEASON,REN-CAIGUAN|HEAVY-ROOT|ROOT-GAN-PRIORITY|HE-HUASHEN-DESHI|ZHONGGUA-2SIDE
790,壬辰壬子丙寅癸巳,HEAVY,OUT_OF_SEASON,REN-CAIGUAN|HEAVY-ROOT|ROOT-GAN-PRIORITY|SHI-GUI-LU|ZHONGGUA-2SIDE
793,甲子乙亥己巳丁卯,NONE,OUT_OF_SEASON,WANGCHONG-SHUAI|ZHONGGUA-2SIDE|RI-BEI-HE
796,丙辰丁酉庚午戊寅,HEAVY,IN_SEASON,REN-CAIGUAN|HEAVY-ROOT|ROOT-GAN-PRIORITY|ZHONGGUA-2SIDE
799,戊午己未壬申辛亥,HEAVY,OUT_OF_SEASON,REN-CAIGUAN|HEAVY-ROOT|ROOT-GAN-PRIORITY|SHI-GUI-LU|ZHONGGUA-2SIDE
805,辛卯戊戌丙辰己亥,LIGHT,OUT_OF_SEASON,REN-CAIGUAN|LIGHT-ROOT|ROOT-GAN-PRIORITY|ZHONGGUA-2SIDE|RI-BEI-HE
808,辛卯戊戌丙辰壬辰,LIGHT,OUT_OF_SEASON,REN-CAIGUAN|LIGHT-ROOT|ROOT-GAN-PRIORITY|ZHONGGUA-2SIDE|RI-BEI-HE
811,壬辰丙午丙午壬辰,HEAVY,IN_SEASON,REN-CAIGUAN|HEAVY-ROOT|ROOT-GAN-PRIORITY|ZHONGGUA-2SIDE
814,甲寅戊辰壬辰壬寅,LIGHT,OUT_OF_SEASON,REN-CAIGUAN|LIGHT-ROOT|ROOT-GAN-PRIORITY|ZHONGGUA-2SIDE
817,庚申戊寅戊寅庚申,HEAVY,OUT_OF_SEASON,REN-CAIGUAN|HEAVY-ROOT|ROOT-GAN-PRIORITY|WANGCHONG-SHUAI|SHI-GUI-LU|ZHONGGUA-2SIDE
830,己丑辛未丙寅己丑,HEAVY,OUT_OF_SEASON,REN-CAIGUAN|HEAVY-ROOT|ROOT-GAN-PRIORITY|ZHONGGUA-2SIDE|RI-BEI-HE
833,辛酉丁酉戊午辛酉,HEAVY,OUT_OF_SEASON,REN-CAIGUAN|HEAVY-ROOT|ROOT-GAN-PRIORITY|ZHONGGUA-2SIDE
836,壬戌壬子庚辰己卯,LIGHT,OUT_OF_SEASON,REN-CAIGUAN|LIGHT-ROOT|ROOT-GAN-PRIORITY|ZHONGGUA-2SIDE
839,丙辰癸巳乙丑丙子,LIGHT,OUT_OF_SEASON,REN-CAIGUAN|LIGHT-ROOT|ROOT-GAN-PRIORITY|ZHONGGUA-2SIDE
843,丙申戊戌丁卯乙巳,LIGHT,OUT_OF_SEASON,REN-CAIGUAN|LIGHT-ROOT|ROOT-GAN-PRIORITY|ZHONGGUA-2SIDE
846,癸亥乙卯壬申乙巳,HEAVY,OUT_OF_SEASON,REN-CAIGUAN|HEAVY-ROOT|ROOT-GAN-PRIORITY|ZHONGGUA-2SIDE
849,戊子辛酉戊午丁巳,HEAVY,OUT_OF_SEASON,REN-CAIGUAN|HEAVY-ROOT|ROOT-GAN-PRIORITY|WANGCHONG-SHUAI|SHI-GUI-LU|ZHONGGUA-2SIDE
852,壬申辛亥辛酉庚寅,HEAVY,OUT_OF_SEASON,REN-CAIGUAN|HEAVY-ROOT|ROOT-GAN-PRIORITY|WANGCHONG-SHUAI|ZHONGGUA-2SIDE
856,癸亥辛酉戊申己未,LIGHT,OUT_OF_SEASON,REN-CAIGUAN|LIGHT-ROOT|ROOT-GAN-PRIORITY|SHI-GUI-LU|ZHONGGUA-2SIDE|RI-BEI-HE
859,己未癸酉戊戌庚申,LIGHT,OUT_OF_SEASON,REN-CAIGUAN|LIGHT-ROOT|ROOT-GAN-PRIORITY|SHI-GUI-LU|ZHONGGUA-2SIDE|RI-BEI-HE
862,癸亥甲寅癸亥甲寅,NONE,OUT_OF_SEASON,ZHONGGUA-2SIDE
865,戊申己未丙戌己丑,LIGHT,OUT_OF_SEASON,REN-CAIGUAN|LIGHT-ROOT|ROOT-GAN-PRIORITY|ZHONGGUA-2SIDE
868,戊辰庚申己酉癸酉,LIGHT,OUT_OF_SEASON,REN-CAIGUAN|LIGHT-ROOT|ROOT-GAN-PRIORITY|SHI-GUI-LU|ZHONGGUA-2SIDE
873,庚辰己卯壬辰庚子,HEAVY,OUT_OF_SEASON,REN-CAIGUAN|HEAVY-ROOT|ROOT-GAN-PRIORITY|SHI-GUI-LU|ZHONGGUA-2SIDE
876,乙酉戊寅癸酉癸丑,LIGHT,OUT_OF_SEASON,REN-CAIGUAN|LIGHT-ROOT|ROOT-GAN-PRIORITY|SHI-GUI-LU|ZHONGGUA-2SIDE|RI-BEI-HE
879,己卯庚午甲寅丁卯,HEAVY,OUT_OF_SEASON,REN-CAIGUAN|HEAVY-ROOT|ROOT-GAN-PRIORITY|SHI-GUI-LU|ZHONGGUA-2SIDE|RI-BEI-HE
882,丙子乙未丙辰乙未,LIGHT,OUT_OF_SEASON,REN-CAIGUAN|LIGHT-ROOT|ROOT-GAN-PRIORITY|SHI-GUI-LU|ZHONGGUA-2SIDE
886,壬戌己酉戊戌乙卯,LIGHT,OUT_OF_SEASON,REN-CAIGUAN|LIGHT-ROOT|ROOT-GAN-PRIORITY|WANGCHONG-SHUAI|ZHONGGUA-2SIDE
889,庚午己卯壬申己酉,HEAVY,OUT_OF_SEASON,REN-CAIGUAN|HEAVY-ROOT|ROOT-GAN-PRIORITY|WANGCHONG-SHUAI|ZHONGGUA-2SIDE
892,辛未辛卯壬辰己酉,LIGHT,OUT_OF_SEASON,REN-CAIGUAN|LIGHT-ROOT|ROOT-GAN-PRIORITY|WANGCHONG-SHUAI|ZHONGGUA-2SIDE
895,癸酉己未丙午癸巳,HEAVY,OUT_OF_SEASON,REN-CAIGUAN|HEAVY-ROOT|ROOT-GAN-PRIORITY|SHI-GUI-LU|ZHONGGUA-2SIDE
899,戊申戊午丁巳乙巳,HEAVY,IN_SEASON,REN-CAIGUAN|HEAVY-ROOT|ROOT-GAN-PRIORITY|ZHONGGUA-2SIDE
902,壬子辛亥壬子癸卯,HEAVY,IN_SEASON,REN-CAIGUAN|HEAVY-ROOT|ROOT-GAN-PRIORITY|ZHONGGUA-2SIDE
905,壬辰壬子壬子癸卯,HEAVY,IN_SEASON,REN-CAIGUAN|HEAVY-ROOT|ROOT-GAN-PRIORITY|ZHONGGUA-2SIDE
908,戊午丙辰戊辰辛酉,HEAVY,IN_SEASON,REN-CAIGUAN|HEAVY-ROOT|ROOT-GAN-PRIORITY|ZHONGGUA-2SIDE
911,乙酉辛巳戊午丙辰,HEAVY,SUPPORTS,REN-CAIGUAN|HEAVY-ROOT|ROOT-GAN-PRIORITY|SHI-GUI-LU|ZHONGGUA-2SIDE
914,丁酉乙巳戊午丙辰,HEAVY,SUPPORTS,REN-CAIGUAN|HEAVY-ROOT|ROOT-GAN-PRIORITY|SHI-GUI-LU|ZHONGGUA-2SIDE
917,丁丑丙午己酉辛未,HEAVY,SUPPORTS,REN-CAIGUAN|HEAVY-ROOT|ROOT-GAN-PRIORITY|SHI-GUI-LU|ZHONGGUA-2SIDE
927,癸酉甲子丙寅乙未,HEAVY,OUT_OF_SEASON,REN-CAIGUAN|HEAVY-ROOT|ROOT-GAN-PRIORITY|SHI-GUI-LU|ZHONGGUA-2SIDE
930,甲子丙寅己亥辛未,LIGHT,OUT_OF_SEASON,REN-CAIGUAN|LIGHT-ROOT|ROOT-GAN-PRIORITY|SHI-GUI-LU|ZHONGGUA-2SIDE|RI-BEI-HE
933,癸未甲子丙寅丁酉,HEAVY,OUT_OF_SEASON,REN-CAIGUAN|HEAVY-ROOT|ROOT-GAN-PRIORITY|ZHONGGUA-2SIDE
943,乙亥庚辰戊戌丁巳,HEAVY,IN_SEASON,REN-CAIGUAN|HEAVY-ROOT|ROOT-GAN-PRIORITY|SHI-GUI-LU|ZHONGGUA-2SIDE
946,癸亥己未丙午己丑,HEAVY,OUT_OF_SEASON,REN-CAIGUAN|HEAVY-ROOT|ROOT-GAN-PRIORITY|ZHONGGUA-2SIDE
949,丁卯丁未庚午己卯,NONE,SUPPORTS,ZHONGGUA-2SIDE
959,甲子丙寅己丑甲子,LIGHT,OUT_OF_SEASON,REN-CAIGUAN|LIGHT-ROOT|ROOT-GAN-PRIORITY|ZHONGGUA-2SIDE|RI-BEI-HE
962,壬申壬寅丙子乙未,HEAVY,SUPPORTS,REN-CAIGUAN|HEAVY-ROOT|ROOT-GAN-PRIORITY|WANGCHONG-SHUAI|SHI-GUI-LU|ZHONGGUA-2SIDE
965,庚申戊寅壬子甲辰,HEAVY,OUT_OF_SEASON,REN-CAIGUAN|HEAVY-ROOT|ROOT-GAN-PRIORITY|WANGCHONG-SHUAI|SHI-GUI-LU|ZHONGGUA-2SIDE
975,乙酉戊寅壬午庚戌,NONE,OUT_OF_SEASON,ZHONGGUA-2SIDE
978,庚戌戊寅癸未癸丑,LIGHT,OUT_OF_SEASON,REN-CAIGUAN|LIGHT-ROOT|ROOT-GAN-PRIORITY|SHI-GUI-LU|ZHONGGUA-2SIDE|RI-BEI-HE
981,丙子己亥辛酉己亥,HEAVY,OUT_OF_SEASON,REN-CAIGUAN|HEAVY-ROOT|ROOT-GAN-PRIORITY|HE-HUASHEN-DESHI|ZHONGGUA-2SIDE|RI-BEI-HE
991,壬申戊申庚辰甲申,HEAVY,IN_SEASON,REN-CAIGUAN|HEAVY-ROOT|ROOT-GAN-PRIORITY|SHI-GUI-LU|ZHONGGUA-2SIDE
994,壬戌戊申庚寅丙戌,HEAVY,IN_SEASON,REN-CAIGUAN|HEAVY-ROOT|ROOT-GAN-PRIORITY|WANGCHONG-SHUAI|SHI-GUI-LU|ZHONGGUA-2SIDE
997,辛酉丁酉乙未丁丑,LIGHT,OUT_OF_SEASON,REN-CAIGUAN|LIGHT-ROOT|ROOT-GAN-PRIORITY|ZHONGGUA-2SIDE
1000,戊辰辛酉乙亥甲申,LIGHT,OUT_OF_SEASON,REN-CAIGUAN|LIGHT-ROOT|TENGLUO-XIJIA|ROOT-GAN-PRIORITY|ZHONGGUA-2SIDE
1010,庚辰庚辰庚申庚辰,HEAVY,SUPPORTS,REN-CAIGUAN|HEAVY-ROOT|ROOT-GAN-PRIORITY|ZHONGGUA-2SIDE
1013,癸酉甲子庚辰甲申,HEAVY,OUT_OF_SEASON,REN-CAIGUAN|HEAVY-ROOT|ROOT-GAN-PRIORITY|SHI-GUI-LU|ZHONGGUA-2SIDE
1016,壬子辛亥乙亥丙子,NONE,SUPPORTS,HE-HUASHEN-DESHI|ZHONGGUA-2SIDE
1026,甲申丙子庚辰戊寅,HEAVY,OUT_OF_SEASON,REN-CAIGUAN|HEAVY-ROOT|ROOT-GAN-PRIORITY|ZHONGGUA-2SIDE
1029,己酉丙子庚辰甲申,HEAVY,OUT_OF_SEASON,REN-CAIGUAN|HEAVY-ROOT|ROOT-GAN-PRIORITY|SHI-GUI-LU|ZHONGGUA-2SIDE
1032,丁丑丙午丙午壬辰,HEAVY,IN_SEASON,REN-CAIGUAN|HEAVY-ROOT|ROOT-GAN-PRIORITY|ZHONGGUA-2SIDE
1035,癸未丁巳丙午癸巳,HEAVY,IN_SEASON,REN-CAIGUAN|HEAVY-ROOT|ROOT-GAN-PRIORITY|SHI-GUI-LU|ZHONGGUA-2SIDE
1045,丙辰辛丑庚辰丙子,LIGHT,SUPPORTS,REN-CAIGUAN|LIGHT-ROOT|ROOT-GAN-PRIORITY|ZHONGGUA-2SIDE
1048,丁未壬子庚戌丙戌,LIGHT,OUT_OF_SEASON,REN-CAIGUAN|LIGHT-ROOT|ROOT-GAN-PRIORITY|SHI-GUI-LU|ZHONGGUA-2SIDE
1051,癸未丁巳甲午庚午,LIGHT,OUT_OF_SEASON,REN-CAIGUAN|LIGHT-ROOT|ROOT-GAN-PRIORITY|ZHONGGUA-2SIDE
1054,癸丑丁巳甲辰庚午,LIGHT,OUT_OF_SEASON,REN-CAIGUAN|LIGHT-ROOT|ROOT-GAN-PRIORITY|ZHONGGUA-2SIDE
1064,己卯辛未丙子辛卯,LIGHT,OUT_OF_SEASON,REN-CAIGUAN|LIGHT-ROOT|ROOT-GAN-PRIORITY|ZHONGGUA-2SIDE|RI-BEI-HE
1067,壬午乙巳丁丑丙午,HEAVY,IN_SEASON,REN-CAIGUAN|HEAVY-ROOT|ROOT-GAN-PRIORITY|SHI-GUI-LU|ZHONGGUA-2SIDE|RI-BEI-HE
1077,戊辰乙丑戊戌辛酉,LIGHT,IN_SEASON,REN-CAIGUAN|LIGHT-ROOT|ROOT-GAN-PRIORITY|ZHONGGUA-2SIDE
1080,戊午壬戌丁卯癸卯,HEAVY,OUT_OF_SEASON,REN-CAIGUAN|HEAVY-ROOT|ROOT-GAN-PRIORITY|ZHONGGUA-2SIDE|RI-BEI-HE
1083,癸丑壬戌丙午庚寅,HEAVY,OUT_OF_SEASON,REN-CAIGUAN|HEAVY-ROOT|ROOT-GAN-PRIORITY|SHI-GUI-LU|ZHONGGUA-2SIDE
1093,丙寅庚寅甲申乙丑,HEAVY,IN_SEASON,REN-CAIGUAN|HEAVY-ROOT|ROOT-GAN-PRIORITY|WANGCHONG-SHUAI|ZHONGGUA-2SIDE
1096,庚戌己卯甲寅丁卯,HEAVY,IN_SEASON,REN-CAIGUAN|HEAVY-ROOT|ROOT-GAN-PRIORITY|SHI-GUI-LU|ZHONGGUA-2SIDE|RI-BEI-HE
1099,庚辰壬午甲辰丁卯,HEAVY,OUT_OF_SEASON,REN-CAIGUAN|HEAVY-ROOT|ROOT-GAN-PRIORITY|SHI-GUI-LU|ZHONGGUA-2SIDE
1102,庚戌甲申甲戌乙丑,NONE,OUT_OF_SEASON,JUECHU-FENGSHENG|HE-HUASHEN-DESHI|ZHONGGUA-2SIDE
1105,辛酉庚子甲子丙寅,HEAVY,SUPPORTS,REN-CAIGUAN|HEAVY-ROOT|ROOT-GAN-PRIORITY|HE-HUASHEN-DESHI|SHI-GUI-LU|ZHONGGUA-2SIDE
1116,丙子己亥丙寅戊子,HEAVY,OUT_OF_SEASON,REN-CAIGUAN|HEAVY-ROOT|JUECHU-FENGSHENG|ROOT-GAN-PRIORITY|ZHONGGUA-2SIDE
1119,壬午壬寅壬戌庚戌,NONE,OUT_OF_SEASON,ZHONGGUA-2SIDE
1122,丙子丙申丙子丙申,NONE,OUT_OF_SEASON,ZHONGGUA-2SIDE
1125,癸巳壬戌壬午壬寅,NONE,OUT_OF_SEASON,ZHONGGUA-2SIDE
1128,壬子丙午壬子丙午,HEAVY,OUT_OF_SEASON,REN-CAIGUAN|HEAVY-ROOT|ROOT-GAN-PRIORITY|WANGCHONG-SHUAI|ZHONGGUA-2SIDE
1156,癸卯乙丑庚申丁丑,HEAVY,SUPPORTS,REN-CAIGUAN|HEAVY-ROOT|ROOT-GAN-PRIORITY|SHI-GUI-LU|ZHONGGUA-2SIDE|RI-BEI-HE
1159,丁未乙巳丁酉癸卯,LIGHT,IN_SEASON,REN-CAIGUAN|LIGHT-ROOT|ROOT-GAN-PRIORITY|ZHONGGUA-2SIDE
1162,乙亥庚辰丙申壬辰,NONE,OUT_OF_SEASON,ZHONGGUA-2SIDE
1189,辛丑辛丑戊戌癸丑,LIGHT,IN_SEASON,REN-CAIGUAN|LIGHT-ROOT|ROOT-GAN-PRIORITY|SHI-GUI-LU|ZHONGGUA-2SIDE|RI-BEI-HE
1192,癸亥甲子丁酉癸卯,LIGHT,OUT_OF_SEASON,REN-CAIGUAN|LIGHT-ROOT|ROOT-GAN-PRIORITY|ZHONGGUA-2SIDE
1195,乙未辛巳戊戌丁巳,HEAVY,SUPPORTS,REN-CAIGUAN|HEAVY-ROOT|ROOT-GAN-PRIORITY|SHI-GUI-LU|ZHONGGUA-2SIDE
1198,戊子癸亥壬戌甲辰,HEAVY,IN_SEASON,REN-CAIGUAN|HEAVY-ROOT|ROOT-GAN-PRIORITY|SHI-GUI-LU|ZHONGGUA-2SIDE
1201,庚寅丙戌辛亥辛卯,LIGHT,SUPPORTS,REN-CAIGUAN|LIGHT-ROOT|ROOT-GAN-PRIORITY|ZHONGGUA-2SIDE|RI-BEI-HE
1204,丁酉丁未戊戌丁巳,HEAVY,IN_SEASON,REN-CAIGUAN|HEAVY-ROOT|ROOT-GAN-PRIORITY|SHI-GUI-LU|ZHONGGUA-2SIDE
1208,辛卯辛卯甲辰丁卯,HEAVY,IN_SEASON,REN-CAIGUAN|HEAVY-ROOT|ROOT-GAN-PRIORITY|SHI-GUI-LU|ZHONGGUA-2SIDE
1218,癸卯乙丑丙子己丑,NONE,OUT_OF_SEASON,ZHONGGUA-2SIDE
1221,乙卯丁亥戊午丙辰,HEAVY,OUT_OF_SEASON,REN-CAIGUAN|HEAVY-ROOT|ROOT-GAN-PRIORITY|SHI-GUI-LU|ZHONGGUA-2SIDE
1224,丁巳辛亥戊子戊午,HEAVY,OUT_OF_SEASON,REN-CAIGUAN|HEAVY-ROOT|ROOT-GAN-PRIORITY|WANGCHONG-SHUAI|SHI-GUI-LU|ZHONGGUA-2SIDE
1227,乙亥辛巳丙辰癸巳,HEAVY,IN_SEASON,REN-CAIGUAN|HEAVY-ROOT|ROOT-GAN-PRIORITY|WANGCHONG-SHUAI|SHI-GUI-LU|ZHONGGUA-2SIDE|RI-BEI-HE
1236,丁亥壬寅丙子丁酉,HEAVY,SUPPORTS,REN-CAIGUAN|HEAVY-ROOT|ROOT-GAN-PRIORITY|HE-HUASHEN-DESHI|ZHONGGUA-2SIDE
1239,癸巳戊午丙午庚寅,HEAVY,IN_SEASON,REN-CAIGUAN|HEAVY-ROOT|ROOT-GAN-PRIORITY|HE-HUASHEN-DESHI|SHI-GUI-LU|ZHONGGUA-2SIDE
1249,甲申丙子壬寅辛亥,HEAVY,IN_SEASON,REN-CAIGUAN|HEAVY-ROOT|ROOT-GAN-PRIORITY|HE-HUASHEN-DESHI|SHI-GUI-LU|ZHONGGUA-2SIDE
1252,壬申丙午癸亥戊午,NONE,OUT_OF_SEASON,HE-HUASHEN-DESHI|ZHONGGUA-2SIDE|RI-BEI-HE
1259,癸卯癸亥丁卯辛亥,NONE,OUT_OF_SEASON,ZHONGGUA-2SIDE
1262,癸酉丁巳丙午壬辰,HEAVY,IN_SEASON,REN-CAIGUAN|HEAVY-ROOT|ROOT-GAN-PRIORITY|ZHONGGUA-2SIDE
1265,甲午丙寅辛酉己丑,HEAVY,OUT_OF_SEASON,REN-CAIGUAN|HEAVY-ROOT|ROOT-GAN-PRIORITY|SHI-GUI-LU|ZHONGGUA-2SIDE|RI-BEI-HE
1268,乙巳辛巳庚辰甲申,HEAVY,OUT_OF_SEASON,REN-CAIGUAN|HEAVY-ROOT|ROOT-GAN-PRIORITY|SHI-GUI-LU|ZHONGGUA-2SIDE|RI-BEI-HE
1275,壬子戊申戊戌辛酉,LIGHT,OUT_OF_SEASON,REN-CAIGUAN|LIGHT-ROOT|ROOT-GAN-PRIORITY|ZHONGGUA-2SIDE
1278,癸卯甲寅丁巳己酉,LIGHT,SUPPORTS,REN-CAIGUAN|LIGHT-ROOT|ROOT-GAN-PRIORITY|WANGCHONG-SHUAI|SHI-GUI-LU|ZHONGGUA-2SIDE
1281,庚午壬午丙寅庚寅,HEAVY,IN_SEASON,REN-CAIGUAN|HEAVY-ROOT|ROOT-GAN-PRIORITY|SHI-GUI-LU|ZHONGGUA-2SIDE
1284,乙卯乙酉庚寅壬午,HEAVY,IN_SEASON,REN-CAIGUAN|HEAVY-ROOT|ROOT-GAN-PRIORITY|WANGCHONG-SHUAI|HE-HUASHEN-DESHI|ZHONGGUA-2SIDE|RI-BEI-HE
1287,辛丑丙申癸巳庚申,LIGHT,SUPPORTS,REN-CAIGUAN|LIGHT-ROOT|ROOT-GAN-PRIORITY|ZHONGGUA-2SIDE
1290,庚辰乙酉丁丑乙巳,LIGHT,OUT_OF_SEASON,REN-CAIGUAN|LIGHT-ROOT|ROOT-GAN-PRIORITY|HE-HUASHEN-DESHI|ZHONGGUA-2SIDE
1298,丁丑壬子丁亥甲辰,NONE,OUT_OF_SEASON,ZHONGGUA-2SIDE|RI-BEI-HE
1301,丙辰庚寅丙午壬辰,HEAVY,SUPPORTS,REN-CAIGUAN|HEAVY-ROOT|ROOT-GAN-PRIORITY|ZHONGGUA-2SIDE
1304,丁卯甲辰辛亥癸巳,NONE,SUPPORTS,ZHONGGUA-2SIDE
1312,甲子丙寅戊寅己未,HEAVY,OUT_OF_SEASON,REN-CAIGUAN|HEAVY-ROOT|ROOT-GAN-PRIORITY|SHI-GUI-LU|ZHONGGUA-2SIDE
1315,丙申己亥庚辰戊寅,HEAVY,OUT_OF_SEASON,REN-CAIGUAN|HEAVY-ROOT|ROOT-GAN-PRIORITY|ZHONGGUA-2SIDE
1322,乙亥戊寅丙子甲午,HEAVY,SUPPORTS,REN-CAIGUAN|HEAVY-ROOT|ROOT-GAN-PRIORITY|WANGCHONG-SHUAI|SHI-GUI-LU|ZHONGGUA-2SIDE
1325,辛巳庚寅丙辰己丑,HEAVY,SUPPORTS,REN-CAIGUAN|HEAVY-ROOT|ROOT-GAN-PRIORITY|ZHONGGUA-2SIDE|RI-BEI-HE
1332,辛丑癸巳甲子丙寅,HEAVY,OUT_OF_SEASON,REN-CAIGUAN|HEAVY-ROOT|ROOT-GAN-PRIORITY|SHI-GUI-LU|ZHONGGUA-2SIDE
1335,己酉乙亥丙寅戊子,HEAVY,OUT_OF_SEASON,REN-CAIGUAN|HEAVY-ROOT|JUECHU-FENGSHENG|ROOT-GAN-PRIORITY|ZHONGGUA-2SIDE
1338,己酉辛未壬寅壬寅,NONE,OUT_OF_SEASON,ZHONGGUA-2SIDE
1341,丁未庚戌庚辰丙子,LIGHT,SUPPORTS,REN-CAIGUAN|LIGHT-ROOT|ROOT-GAN-PRIORITY|ZHONGGUA-2SIDE
1344,乙未戊寅乙卯庚辰,HEAVY,IN_SEASON,REN-CAIGUAN|HEAVY-ROOT|ROOT-GAN-PRIORITY|SHI-GUI-LU|ZHONGGUA-2SIDE|RI-BEI-HE
1347,癸丑甲寅戊戌庚申,HEAVY,OUT_OF_SEASON,REN-CAIGUAN|HEAVY-ROOT|ROOT-GAN-PRIORITY|WANGCHONG-SHUAI|SHI-GUI-LU|ZHONGGUA-2SIDE|RI-BEI-HE
1350,戊辰庚申己卯戊辰,LIGHT,OUT_OF_SEASON,REN-CAIGUAN|LIGHT-ROOT|ROOT-GAN-PRIORITY|SHI-GUI-LU|ZHONGGUA-2SIDE
1357,乙丑乙酉丙辰辛卯,NONE,OUT_OF_SEASON,WANGCHONG-SHUAI|ZHONGGUA-2SIDE|RI-BEI-HE
1360,己丑戊辰辛亥戊戌,LIGHT,SUPPORTS,REN-CAIGUAN|LIGHT-ROOT|ROOT-GAN-PRIORITY|SHI-GUI-LU|ZHONGGUA-2SIDE
1363,壬寅壬寅甲寅壬申,HEAVY,IN_SEASON,REN-CAIGUAN|HEAVY-ROOT|ROOT-GAN-PRIORITY|WANGCHONG-SHUAI|ZHONGGUA-2SIDE
1366,辛丑辛丑癸酉癸丑,LIGHT,OUT_OF_SEASON,REN-CAIGUAN|LIGHT-ROOT|ROOT-GAN-PRIORITY|SHI-GUI-LU|ZHONGGUA-2SIDE
1379,戊申甲寅壬寅丁未,HEAVY,OUT_OF_SEASON,REN-CAIGUAN|HEAVY-ROOT|ROOT-GAN-PRIORITY|WANGCHONG-SHUAI|HE-HUASHEN-DESHI|ZHONGGUA-2SIDE|RI-BEI-HE
1382,丁未乙巳甲午丁卯,HEAVY,OUT_OF_SEASON,REN-CAIGUAN|HEAVY-ROOT|ROOT-GAN-PRIORITY|SHI-GUI-LU|ZHONGGUA-2SIDE
1385,戊戌己未丙辰戊戌,LIGHT,OUT_OF_SEASON,REN-CAIGUAN|LIGHT-ROOT|ROOT-GAN-PRIORITY|SHI-GUI-LU|ZHONGGUA-2SIDE
1388,戊午乙丑戊戌丙辰,HEAVY,IN_SEASON,REN-CAIGUAN|HEAVY-ROOT|ROOT-GAN-PRIORITY|SHI-GUI-LU|ZHONGGUA-2SIDE
1391,己亥丙寅丁亥庚戌,LIGHT,SUPPORTS,REN-CAIGUAN|LIGHT-ROOT|ROOT-GAN-PRIORITY|SHI-GUI-LU|ZHONGGUA-2SIDE
1394,丁未癸丑庚子丁亥,LIGHT,SUPPORTS,REN-CAIGUAN|LIGHT-ROOT|ROOT-GAN-PRIORITY|ZHONGGUA-2SIDE
1397,丁丑癸丑庚子乙酉,HEAVY,SUPPORTS,REN-CAIGUAN|HEAVY-ROOT|ROOT-GAN-PRIORITY|SHI-GUI-LU|ZHONGGUA-2SIDE|RI-BEI-HE
1400,丁丑壬子辛巳丙申,LIGHT,OUT_OF_SEASON,REN-CAIGUAN|LIGHT-ROOT|ROOT-GAN-PRIORITY|HE-HUASHEN-DESHI|ZHONGGUA-2SIDE|RI-BEI-HE
1403,戊子戊午癸酉戊午,HEAVY,OUT_OF_SEASON,REN-CAIGUAN|HEAVY-ROOT|ROOT-GAN-PRIORITY|WANGCHONG-SHUAI|HE-HUASHEN-DESHI|ZHONGGUA-2SIDE|RI-BEI-HE
1406,乙未辛巳乙亥丙戌,LIGHT,OUT_OF_SEASON,REN-CAIGUAN|LIGHT-ROOT|ROOT-GAN-PRIORITY|WANGCHONG-SHUAI|ZHONGGUA-2SIDE
1409,丁巳戊申癸丑乙卯,LIGHT,SUPPORTS,REN-CAIGUAN|LIGHT-ROOT|ROOT-GAN-PRIORITY|SHI-GUI-LU|ZHONGGUA-2SIDE|RI-BEI-HE
1412,乙亥癸酉甲辰丙寅,HEAVY,OUT_OF_SEASON,REN-CAIGUAN|HEAVY-ROOT|ROOT-GAN-PRIORITY|SHI-GUI-LU|ZHONGGUA-2SIDE
1415,辛酉壬辰丁巳甲辰,LIGHT,OUT_OF_SEASON,REN-CAIGUAN|LIGHT-ROOT|ROOT-GAN-PRIORITY|ZHONGGUA-2SIDE|RI-BEI-HE
1418,己巳癸酉壬辰甲辰,LIGHT,SUPPORTS,REN-CAIGUAN|LIGHT-ROOT|ROOT-GAN-PRIORITY|SHI-GUI-LU|ZHONGGUA-2SIDE
1421,庚辰壬午乙亥癸未,LIGHT,OUT_OF_SEASON,REN-CAIGUAN|LIGHT-ROOT|ROOT-GAN-PRIORITY|SHI-GUI-LU|ZHONGGUA-2SIDE|RI-BEI-HE
1424,庚辰戊寅乙酉壬午,LIGHT,IN_SEASON,REN-CAIGUAN|LIGHT-ROOT|ROOT-GAN-PRIORITY|SHI-GUI-LU|ZHONGGUA-2SIDE|RI-BEI-HE
1427,丙辰癸巳丁丑甲辰,NONE,IN_SEASON,ZHONGGUA-2SIDE
1430,丙寅辛卯癸酉戊午,LIGHT,OUT_OF_SEASON,REN-CAIGUAN|LIGHT-ROOT|ROOT-GAN-PRIORITY|WANGCHONG-SHUAI|ZHONGGUA-2SIDE|RI-BEI-HE
1433,辛丑辛卯丙子癸巳,HEAVY,SUPPORTS,REN-CAIGUAN|HEAVY-ROOT|ROOT-GAN-PRIORITY|SHI-GUI-LU|ZHONGGUA-2SIDE|RI-BEI-HE
1436,丁酉癸卯丙辰丙申,NONE,SUPPORTS,WANGCHONG-SHUAI|ZHONGGUA-2SIDE
1439,癸丑庚申戊午己未,HEAVY,OUT_OF_SEASON,REN-CAIGUAN|HEAVY-ROOT|ROOT-GAN-PRIORITY|SHI-GUI-LU|ZHONGGUA-2SIDE|RI-BEI-HE
